Complexity,Loss,Equation
39,0.5187698206627459,"f = 13.499284016400594; g = tanh(#1 / 0.45428865719288025); k = tanh(#1 + -0.14283693097441563) + (#1 / tanh(#1)); h = ((#1 + #1) + -0.7380461374033812) - tanh(-0.02905920176891947 / square(#1)); l = #1 + exp(#1)"
40,0.5068462599441469,"f = 13.036660120377729; g = tanh((#1 + #1) + square(#1)); k = (#1 / tanh(#1)) + tanh(#1 + -0.14635322808256732); h = #1 + ((#1 + -0.7374672233458619) - tanh(-0.028761917737602102 / square(#1))); l = exp(#1) + #1"
42,0.5131978705468692,"f = 10.209457293430619; g = tanh(#1 / 0.44285855997810203); k = (#1 / tanh(#1)) + tanh(#1 + -0.18086843079190226); h = (#1 + #1) + (-0.6626927711512365 - (exp(#1) * tanh(-0.023021663497302978 / square(#1)))); l = exp(#1) + #1"
43,0.5025295531972258,"f = 9.769275147837572; g = tanh((#1 + #1) + square(#1)); k = (#1 / tanh(#1)) + tanh(#1 + -0.1685857797426516); h = (#1 + (-0.6596517276651128 - (tanh(-0.022961610722946203 / square(#1)) * exp(#1)))) + #1; l = #1 + exp(#1)"
44,0.5044467617999785,"f = 9.493340315079125; g = tanh((square(#1) + #1) + #1); k = (#1 / tanh(#1)) + tanh(#1 + -0.1557668932853033); h = #1 + (tanh(#1) + (-0.6479796313456437 - (exp(#1) * tanh(-0.02295747053952451 / square(#1))))); l = exp(#1) + #1"
45,0.49825802218317,"f = 9.77446467388678; g = tanh((#1 + square(#1)) / 0.5570323707906029); k = (#1 / tanh(#1)) + tanh(#1 + -0.17221904297473548); h = ((#1 + #1) + -0.6656331795760809) - (exp(#1) * tanh(-0.022832913145380534 / square(#1))); l = exp(#1) + #1"
46,0.4955843737772374,"f = 9.983058370528951; g = tanh((#1 + -0.05229103269962143) / 0.34345775977167287); k = (#1 / tanh(#1)) + tanh(#1 + -0.1788678268133907); h = ((#1 - (exp(#1) * tanh(-0.022520963014345474 / square(#1)))) + -0.6672195174674967) + #1; l = #1 + exp(#1)"
49,0.492255166410892,"f = 9.896097318333977; g = tanh((-0.05505353338406556 + #1) / 0.3431724501844358); k = (#1 / tanh(#1)) + tanh(#1 + -0.1726503035245552); h = (#1 + (-0.6731118045449186 - (tanh(-0.02293205808571813 / square(#1)) * exp(#1)))) + #1; l = (#1 + exp(#1)) + square(#1)"
50,0.4705959176096393,"f = square(cos(#1) - (#1 * exp(#1))) + 8.331133683664271; g = tanh((#1 + -0.08405972097003601) / 0.2940915376258696); k = tanh(#1) + (#1 / tanh(#1)); h = #1 + ((#1 + -0.6919858565634035) - (tanh(-0.024113301633478346 / square(#1)) * exp(#1))); l = square(exp(#1))"
51,0.4708442239112629,"f = square(cos(#1) - (#1 * exp(#1))) + 8.287074882164738; g = tanh((#1 + -0.08643514860204538) / 0.29083663622981826); k = (#1 / tanh(#1)) + tanh(#1); h = (tanh(#1) + (#1 + -0.6887462224435658)) - (tanh(-0.024144259123015512 / square(#1)) * exp(#1)); l = square(exp(#1))"
53,0.4632763158070484,"f = square(1.2562665658365326 - ((#1 + exp(#1)) * #1)) + 8.415722128139047; g = tanh((#1 + -0.08714787030033411) / 0.2971848337916195); k = tanh(#1) + (#1 / tanh(#1)); h = #1 + ((#1 + -0.6972584364091837) - (exp(#1) * tanh(-0.024351077746222628 / square(#1)))); l = square(exp(#1))"
54,0.4636075058339952,"f = square(1.247904207588132 - ((exp(#1) + #1) * #1)) + 8.448125480320847; g = tanh((#1 + -0.08719925566418059) / 0.2961571927072574); k = tanh(#1) + (#1 / tanh(#1)); h = (#1 + -0.6996786536497848) + (tanh(#1) - (exp(#1) * tanh(-0.024477580625683268 / square(#1)))); l = square(exp(#1))"
55,0.463607505833995,"f = square(1.247904207588132 - ((exp(#1) + #1) * #1)) + 8.448125480320847; g = tanh((#1 + -0.08719925566418059) / 0.2961571927072574); k = tanh(#1) + (#1 / tanh(#1)); h = (#1 + -0.6996786536497848) + (tanh(#1) - (exp(#1) * tanh(-0.024477580625683268 / square(#1)))); l = exp(#1 + #1)"
56,0.463817159566603,"f = (square((#1 + #1) - (1.5832680166236204 - #1)) * exp(#1)) + 8.675672246948961; g = tanh((#1 + -0.08961597583918227) / 0.2804529530887036); k = (#1 / tanh(#1)) + tanh(#1); h = #1 + ((tanh(#1) + -0.7162862569421035) - (exp(#1) * tanh(-0.024246228522236523 / square(#1)))); l = square(exp(#1))"
57,0.4589591463041999,"f = 8.324601745037096 + exp(square((1.5805570182028408 - #1) - (#1 + #1))); g = tanh((#1 + -0.0903022564378065) / 0.2841678352651493); k = (#1 / tanh(#1)) + (tanh(#1) + -0.07071794969963396); h = #1 + ((-0.7063611705301799 + #1) - (exp(#1) * tanh(-0.024093775674794194 / square(#1)))); l = square(exp(#1))"
58,0.4602884457137574,"f = exp(square(#1 + (#1 - (1.5894018843572573 - #1)))) + 8.322344287721993; g = tanh((#1 + -0.091423179449484) / 0.2780366715184122); k = ((#1 / tanh(#1)) + -0.07134467628486504) + tanh(#1); h = (tanh(#1) + (#1 + -0.7079048732769401)) - (tanh(-0.024646866899485406 / square(#1)) * exp(#1)); l = square(exp(#1))"
59,0.455485428106884,"f = (exp(square((#1 * 1.6510775699609417) - (#1 / #1))) * 8.644730797478895) + #1; g = tanh((#1 + -0.0911358161791583) / 0.2763620414348455); k = ((#1 / tanh(#1)) + tanh(#1)) + -0.09013391467820647; h = ((#1 + #1) - (tanh(-0.02381846364437736 / square(#1)) * exp(#1))) + -0.7064035376528403; l = square(exp(#1))"
60,0.4550560538121919,"f = (exp(square((#1 * 1.654711319710772) - (#1 / #1))) * 8.636033320730325) + #1; g = tanh((#1 + -0.09123854844708884) / 0.275797670439148); k = (#1 / tanh(#1)) + (tanh(#1) + -0.0859937471567838); h = (#1 + -0.7077994241569188) + (tanh(#1) - (exp(#1) * tanh(-0.0239608634454135 / square(#1)))); l = square(exp(#1))"
