Complexity,Loss,Equation
50,0.45918399562737494,"f = (exp(#4) + ((cos((#5 + (#1 - #2)) / #2) + ((((#5 / 0.08143178744594116) + 1.3345574819262735) + #2) * #1)) * (exp((((#4 - #5) + #4) * (#5 / 0.04103618843264017)) + #3) + ((#5 * #2) / cos(#3))))) + tanh(#4)"
51,0.4570230128785909,"f = (#4 + (((((#2 + 1.3362464171930861) + (#5 / 0.07962729861389965)) * #1) + cos(#5 + (((#1 - #2) + #5) / #2))) * ((#5 * (#2 / cos(#3))) + exp(#3 + ((#4 + (#4 - #5)) * (#5 / 0.04069679883902815)))))) + exp(#4)"
52,0.45699135070761465,"f = (exp(#4) + (((#1 * ((#5 / 0.07975359261941535) + (#2 + 1.3365003237145476))) + cos(((#5 + (#1 - #2)) / #2) + #5)) * (exp(((#5 * ((#4 + #4) - #5)) / 0.04063117544013265) + #3) + (#5 * (#2 / cos(#3)))))) + tanh(#4)"
53,0.4537172988906904,"f = ((((#1 * (((#5 / 0.07688527684908929) + 1.335148962217064) + #2)) + cos((((1.4786254670807728 * #5) + #1) - #2) / #2)) * (((#5 * #2) / cos(#3)) + exp(((#5 * ((#4 + #4) - #5)) / 0.04050055065643615) + #3))) + #4) + exp(#4)"
54,0.45337473061492634,"f = cos(#3 * #4) * (exp(#4) + (#4 + ((((#5 * #2) / cos(#3)) + exp(#3 + (((#4 + (#4 - #5)) * #5) / 0.04148315254885611))) * (cos((#5 + (#1 - #2)) / #2) + (#1 * ((#5 / 0.08058529247905016) + (#2 + 1.365544780535054)))))))"
55,0.450000780604175,"f = (((exp(#3 + (((#4 + (#4 - #5)) / 0.04151401048826827) * #5)) * square(cos(#3 * #4))) + ((#5 * #2) / cos(#3))) * (((((#5 / 0.08094926426308285) + 1.3772663324806205) + #2) * #1) + cos((#5 + (#1 - #2)) / #2))) + (#4 + exp(#4))"
56,0.4488725159041456,"f = ((((#1 * (#2 + ((#5 / 0.08088334341346473) + 1.377202287912965))) + cos((#5 + (#1 - #2)) / #2)) * ((square(cos(#3 * #4)) * exp(((#5 * ((#4 - #5) + #4)) / 0.041496773421661866) + #3)) + ((#5 * #2) / cos(#3)))) + exp(#4)) + tanh(#4)"
57,0.446069895298071,"f = (exp(#4) + ((cos((#5 + (#1 - #2)) / #2) + (((#5 / 0.0810442907265243) + (#2 + 1.3749354068763555)) * #1)) * ((#5 * (#2 / cos(#3))) + (exp((#5 * (((#4 + #4) - #5) / 0.04140265008957162)) + #3) * square(cos((#3 * #4) - #5)))))) + #4"
58,0.4449532329454271,"f = tanh(#4) + (exp(#4) + ((cos((#5 + (#1 - #2)) / #2) + ((((#5 / 0.08091507831437339) + #2) + 1.374762263795697) * #1)) * ((square(cos((#3 * #4) - #5)) * exp((((#4 + #4) - #5) * (#5 / 0.04139628706215086)) + #3)) + (#2 * (#5 / cos(#3))))))"
59,0.44210935121348943,"f = (((cos(((#5 + (#1 - #2)) / #2) + #5) + (#1 * (((#5 / 0.07904677547703962) + 1.370770102124326) + #2))) * ((exp(#3 + (((#4 + #4) - #5) * (#5 / 0.04125817949284089))) * square(cos((#4 * #3) - #5))) + ((#2 * #5) / cos(#3)))) + #4) + exp(#4)"
60,0.44116749832595503,"f = tanh(#4) + ((((exp(#3 + (((#4 + #4) - #5) * (#5 / 0.04117219951089917))) * square(cos((#3 * #4) - #5))) + ((#2 / cos(#3)) * #5)) * (cos(#5 + ((#5 + (#1 - #2)) / #2)) + (((#2 + (#5 / 0.07888872021736211)) + 1.3708429593843097) * #1))) + exp(#4))"
