Case name,Sx,kbar_ch,kc_ch,kt_ch,krms_ch,Ra_ch,incx_ch,incz_ch,pro_ch,ESx_ch,ESz_ch,sk_ch,ku_ch,ks,label
B7030,0.116,0.0865,0.1834,0.1463,0.0417,0.0335,0.0102,-0.006,0.5271,0.2963,0.295,-0.3993,2.5967,0.1036,DNSF
B7020,0.116,0.0841,0.1766,0.1419,0.043,0.0346,0.0073,-0.0019,0.5228,0.1964,0.1977,-0.3407,2.489,0.0688,DNSF
B3588,0.156,0.0932,0.2102,0.1863,0.0413,0.0336,0.0005,0.0002,0.5557,0.8895,0.8936,-0.3328,2.57,0.2028,DNSF
B1588,0.215,0.1272,0.2267,0.2129,0.0395,0.0322,-0.0191,-0.0157,0.4374,0.8873,0.8826,-0.3241,2.6478,0.2137,DNSF
B0088,0.228,0.1318,0.198,0.198,0.0393,0.0321,0.0005,0.0008,0.3325,0.8916,0.8929,-0.3362,2.5946,0.2246,DNSF
C7088,0.122,0.0474,0.2114,0.185,0.0425,0.0357,-0.0071,-0.007,0.7752,0.8865,0.8872,0.6605,2.6354,0.3918,DNSF
C7060,0.122,0.0474,0.2114,0.1775,0.0428,0.0358,0.0001,-0.0002,0.7753,0.6109,0.6097,0.6795,2.6773,0.3648,DNSF
C7040,0.122,0.0484,0.2004,0.141,0.0431,0.0362,0.0003,-0.0008,0.758,0.3932,0.3957,0.6473,2.6074,0.3019,DNSF
C7030,0.122,0.0459,0.1859,0.1533,0.0424,0.0358,-0.0013,-0.0007,0.7528,0.2893,0.2863,0.6694,2.5607,0.2434,DNSF
C7020,0.122,0.046,0.1859,0.1362,0.0418,0.0353,-0.0842,-0.0979,0.7518,0.1986,0.1963,0.6457,2.5532,0.149,DNSF
C3588,0.15,0.048,0.2186,0.1882,0.043,0.036,-0.0232,-0.0238,0.7798,0.885,0.8827,0.6751,2.5969,0.4258,DNSF
C1588,0.168,0.0492,0.1945,0.179,0.0429,0.0357,0,-0.0001,0.7466,0.8811,0.8809,0.6749,2.5952,0.4655,DNSF
C0088,0.177,0.0515,0.168,0.168,0.0428,0.0354,-0.0002,-0.0003,0.6928,0.8818,0.8833,0.6711,2.6682,0.5028,DNSF
D0088,0.145,0.0562,0.137,0.137,0.0424,0.0366,-0.0036,-0.0043,0.5886,0.8929,0.8874,0.1994,1.8358,0.2867,DNSF
D0088s,0.145,0.0573,0.136,0.136,0.0417,0.0361,0,0,0.5775,0.9306,0.8934,0.2209,1.8405,0.3169,DNSF
D0088a,0.145,0.0587,0.138,0.138,0.0413,0.0355,-0.0172,-0.0173,0.5735,0.9076,0.9066,0.2075,1.8979,0.2152,DNSF
E20Dn30Rn,0.14,0.0393,0.0517,0.0517,0.0097,0.0079,0.6034,-0.0037,0.24,0.2873,0.3388,-0.8447,3.414,0.0214,DNSLE
E20Dn45Rn,0.14,0.0562,0.0752,0.0752,0.0149,0.012,0.9276,-0.1358,0.2526,0.5313,0.4331,-0.9521,3.7421,0.0479,DNSLE
E20Dn60Rn,0.14,0.0643,0.0918,0.0918,0.0213,0.017,0.9541,0.0388,0.3003,0.8255,0.5071,-0.986,3.4997,0.0651,DNSLE
E20Dp30Rn,0.14,0.0397,0.0524,0.0524,0.0098,0.0079,-0.6106,-0.0052,0.2431,0.2894,0.3421,-0.8552,3.425,0.022,DNSLE
E20Dp45Rn,0.14,0.0561,0.0752,0.0752,0.015,0.012,-0.9465,-0.133,0.2533,0.5324,0.4332,-0.9605,3.778,0.0408,DNSLE
E20Dp60Rn,0.14,0.0644,0.0918,0.0918,0.0213,0.017,-0.9562,0.0592,0.2991,0.8276,0.5054,-0.9861,3.4923,0.0536,DNSLE
E28Dn30Rn,0.196,0.0287,0.0569,0.0569,0.0197,0.0173,1.0548,0.0001,0.495,0.381,0.4473,-0.18,1.6431,0.0611,DNSLE
E28Dn45Rn,0.196,0.0338,0.0752,0.0752,0.0269,0.0242,1.1651,-0.0111,0.5498,0.5626,0.5115,0.0144,1.5022,0.1263,DNSLE
E28Dn60Rn,0.196,0.0375,0.0918,0.0918,0.0333,0.0303,1.1394,0.0077,0.5919,0.6895,0.5467,0.1524,1.4566,0.1789,DNSLE
E28Dp30Rn,0.196,0.0286,0.0569,0.0569,0.0197,0.0173,-1.0535,0.0053,0.4966,0.381,0.4466,-0.1764,1.6397,0.0609,DNSLE
E28Dp45Rn,0.196,0.0338,0.0752,0.0752,0.0269,0.0242,-1.1643,0.0018,0.5497,0.5623,0.5116,0.0137,1.5024,0.1159,DNSLE
E28Dp60Rn,0.196,0.0375,0.0918,0.0918,0.0333,0.0303,-1.1383,-0.0164,0.5918,0.6892,0.5469,0.1518,1.4563,0.1635,DNSLE
E35Dn30Rn,0.245,0.018,0.0569,0.0569,0.0207,0.0188,1.1897,-0.0222,0.6827,0.2643,0.2847,0.5972,1.7412,0.0876,DNSLE
E35Dn45Rn,0.245,0.0217,0.0752,0.0752,0.027,0.0243,1.2415,-0.0038,0.7119,0.36,0.3316,0.7459,1.9268,0.1774,DNSLE
E35Dn60Rn,0.245,0.024,0.0918,0.0918,0.0321,0.0287,1.2175,-0.0044,0.7387,0.4412,0.361,0.8703,2.112,0.2514,DNSLE
E35Dp30Rn,0.245,0.0181,0.0569,0.0569,0.0207,0.0188,-1.1889,0.0004,0.6825,0.2644,0.2852,0.597,1.7411,0.1025,DNSLE
E35Dp45Rn,0.245,0.0217,0.0752,0.0752,0.027,0.0243,-1.24,-0.0086,0.7119,0.3598,0.3322,0.7453,1.9261,0.1892,DNSLE
E35Dp60Rn,0.245,0.024,0.0918,0.0918,0.0321,0.0287,-1.2156,-0.009,0.7388,0.4409,0.3611,0.8707,2.1129,0.2994,DNSLE
E20D0Ry,0.14,0.0516,0.1051,0.1023,0.0216,0.0175,-0.0472,0.0157,0.5091,0.4405,0.5482,-0.052,2.6147,0.1026,DNSLE
E20D0Rn,0.14,0.07,0.1051,0.1051,0.0289,0.0234,-0.0015,0.0004,0.3344,1.1769,0.5594,-0.923,2.9433,0.0762,DNSLE
E28D0Ry,0.196,0.0306,0.1023,0.1023,0.0263,0.0224,0.4937,-0.2946,0.7016,0.4585,0.4533,0.4487,2.2055,0.1507,DNSLE
